stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
7301001,,"No.65 Marlborough St",, -41.601194, 147.120120,,,0,,2
7301002,,"Wellington St Cnr Smith St",, -41.591060, 147.121138,,,0,,2
7301003,,"Lot 2550 Cressy Rd",, -41.642880, 147.090994,,,0,,2
7301004,,"No.19 Wellington St (Cnr Union St)",, -41.588795, 147.120072,,,0,,2
7301005,,"No.674 Cressy Rd",, -41.636008, 147.095956,,,0,,2
7301006,,"No.118 Marlborough St",, -41.606266, 147.118292,,,0,,2
7301007,,"Wellington St Outside Village Green",, -41.593190, 147.121847,,,0,,2
7301008,,"No.477 Cressy Rd",, -41.625548, 147.103391,,,0,,2
7301009,,"Marlborough St Cnr Bulwer St In",, -41.606059, 147.118109,,,0,,2
7301010,,"Wellington St Opp. Village Green",, -41.593390, 147.121684,,,0,,2
7301011,,"Opp. No.65 Marlborough St",, -41.601332, 147.119808,,,0,,2
7301012,,"No.22 Wellington St",, -41.589047, 147.120024,,,0,,2
7301013,,"No.44 Wellington St (Cnr Smith St)",, -41.591049, 147.120913,,,0,,2
7301014,,"No.36 Marlborough St (Cnr High St)",, -41.597832, 147.120925,,,0,,2
7301052,,"Cressy Rd",, -41.625743, 147.103893,,,0,,2
7301053,,"Cressy Rd before Haslewood St",, -41.636152, 147.096269,,,0,,2
7301054,,"Cressy Rd after Haslewood St",, -41.642915, 147.091297,,,0,,2
7302001,,"No.1 Cressy Rd",, -41.658933, 147.085989,,,0,,2
7302002,,"Cressy Rd Opp. Green Rises Rd",, -41.672006, 147.083522,,,0,,2
7302003,,"No.1018 Cressy Rd",, -41.668136, 147.083934,,,0,,2
7302004,,"Main St Outside Pool",, -41.682507, 147.081336,,,0,,2
7302005,,"No.974 Cressy Rd",, -41.663739, 147.084822,,,0,,2
7302006,,"Main St Outside Holy Trinity Anglican Church",, -41.689188, 147.079507,,,0,,2
7302007,,"Cressy, Church St/Main St",, -41.687226, 147.079511,,,0,,2
7302008,,"Cressy Rd Cnr Green Rises Rd",, -41.672009, 147.083176,,,0,,2
7302009,,"No.42 Main St (Opp. Pool)",, -41.682590, 147.080951,,,0,,2
7302041,,"Cressy Rd after Freelands Ln",, -41.658952, 147.086127,,,0,,2
7302042,,"Cressy Rd",, -41.663756, 147.085106,,,0,,2
7302043,,"Cressy Rd before Green Rises Rd",, -41.668168, 147.084179,,,0,,2
7303001,,"No.3948 Meander Valley Rd",, -41.521123, 146.737633,,,0,,2
7303002,,"No.107 Meander Valley Rd",, -41.526054, 146.833922,,,0,,2
7303003,,"No.55-57 Meander Valley Rd (Police Station)",, -41.526058, 146.842932,,,0,,2
7303004,,"Westbury Maze, No.10 Meander Valley Rd",, -41.526147, 146.849770,,,0,,2
7303005,,"Westbury Newsagency, No.84 Meander Valley Rd",, -41.526150, 146.834305,,,0,,2
7303006,,"No.3949 Meander Valley Rd",, -41.520977, 146.736563,,,0,,2
7303007,,"Westbury",, -41.526150, 146.842978,,,0,,2
7304001,,"No.44 Pioneer Dr",, -41.556873, 146.408185,,,0,,2
7304002,,"No.33 Jones St",, -41.555184, 146.479511,,,0,,2
7304003,,"No.64 Sorell St",, -41.557393, 146.480929,,,0,,2
7304004,,"No.544 Mole Creek Rd",, -41.533747, 146.591633,,,0,,2
7304005,,"Mole Creek Rd cnr Lemana Rd",, -41.525770, 146.609812,,,0,,2
7304008,,"No.4334 Meander Valley Rd",, -41.525490, 146.693844,,,0,,2
7304009,,"Bush Inn, No.7-9 Meander Valley Rd",, -41.524526, 146.661220,,,0,,2
7304010,,"Deloraine Visitors Centre, No.98-104 Emu Bay Rd",, -41.523477, 146.651269,,,0,,2
7304011,,"Meander Valley Rd Opp. Lemana Rd",, -41.525844, 146.609891,,,0,,2
7304012,,"Red Hills Hall, No.525 Mole Creek Rd",, -41.533458, 146.593541,,,0,,2
7304013,,"No.51 Sorell St (Opposite Chudleigh Hall)",, -41.557395, 146.481469,,,0,,2
7304014,,"Corner Of Pioneer Dr & Caveside Rd",, -41.556967, 146.408401,,,0,,2
7304015,,"Opp. No.4334 Meander Valley Rd",, -41.525611, 146.694059,,,0,,2
7304016,,"Elizabeth Town, Bass Hwy",, -41.463920, 146.561976,,,0,,2
7304017,,"Elizabeth Town, Samuel St",, -41.472503, 146.568435,,,0,,2
7304018,,"Elizabeth Town, Bass Hwy",, -41.466161, 146.562203,,,0,,2
7304019,,"Deloraine, Meander Valley Rd",, -41.524377, 146.661258,,,0,,2
7304153,,"Elizabeth Town, Bass Hwy after Samuel St",, -41.472617, 146.567024,,,0,,2
7305001,,"Railton, Foster St after Esplanade",, -41.344786, 146.424089,,,0,,2
7305002,,"Railton, Foster St before Esplanade",, -41.345022, 146.424082,,,0,,2
7306001,,"No.56 High St",, -41.381734, 146.325207,,,0,,2
7307001,,"Sassafras, Bass Hwy",, -41.283670, 146.492891,,,0,,2
7307003,,"Sassafras, Bass Hwy",, -41.283509, 146.493674,,,0,,2
7307005,,"No.55 Gilbert St",, -41.235076, 146.408436,,,0,,2
7307006,,"No.21 Gilbert St",, -41.234632, 146.405480,,,0,,2
7307007,,"Latrobe, Latrobe Village Market",, -41.236104, 146.415892,,,0,,2
7307009,,"Corner of Stanley St & Gilbert St (Cemetery Side)",, -41.238090, 146.427472,,,0,,2
7307010,,"Last St Outside Latrobe High School",, -41.235463, 146.424736,,,0,,2
7307011,,"No.168 Percival St",, -41.241795, 146.421193,,,0,,2
7307012,,"No.16 Reibey St",, -41.243912, 146.419416,,,0,,2
7307013,,"No.85 Bradshaw St",, -41.240222, 146.416554,,,0,,2
7307014,,"No.111 Bradshaw St",, -41.242339, 146.416029,,,0,,2
7307015,,"Mersey Community Hospital",, -41.229723, 146.421556,,,0,,2
7307016,,"No.17 Moriarty Rd",, -41.233119, 146.419536,,,0,,2
7307017,,"St Patrick's Primary School, No.55 Bradshaw St",, -41.235955, 146.417620,,,0,,2
7307018,,"No.54 Gilbert St",, -41.235180, 146.408364,,,0,,2
7307019,,"No.170 Gilbert St (Outside Latrobe Memorial Hall)",, -41.236130, 146.415230,,,0,,2
7307020,,"No.24 Gilbert St",, -41.234777, 146.405559,,,0,,2
7307022,,"No.89 Wilmot St",, -41.166803, 146.547046,,,0,,2
7307023,,"No.2 Port Sorell Rd (Past Parkers Ford Rd)",, -41.168135, 146.531965,,,0,,2
7307024,,"No.75 Shearwater Boulevard",, -41.156063, 146.537959,,,0,,2
7307025,,"Port Sorell, Alexander St before Arthur St",, -41.153229, 146.535622,,,0,,2
7307026,,"Port Sorell Primary School, Pitcairn St",, -41.163367, 146.549165,,,0,,2
7307027,,"No.135 Wilmot St",, -41.166880, 146.540476,,,0,,2
7307028,,"Opposite Corner Port Sorell Rd & Summerhill Dr",, -41.168957, 146.514488,,,0,,2
7307029,,"Wesley Vale Uniting Church, No.604 Port Sorell Rd",, -41.190460, 146.456409,,,0,,2
7307030,,"No.23 Shearwater Boulevard (Outside Country Club)",, -41.159809, 146.540860,,,0,,2
7307031,,"Opp. No.99 Alexander St",, -41.157978, 146.534173,,,0,,2
7307034,,"No.131 Shearwater Boulevard",, -41.151064, 146.538200,,,0,,2
7307035,,"Poyston Dr Outside Woolworths",, -41.161113, 146.532385,,,0,,2
7307036,,"Port Sorell Rd Before Alexander St",, -41.168025, 146.531916,,,0,,2
7307037,,"Corner Port Sorell Rd & Summerhill Dr",, -41.168544, 146.516629,,,0,,2
7307038,,"No.605 Port Sorell Rd (Outside Shop)",, -41.190308, 146.456609,,,0,,2
7307039,,"No.29 Lyell St",, -41.239422, 146.429977,,,0,,2
7307040,,"No.159 Cotton St",, -41.240332, 146.430887,,,0,,2
7307041,,"No.24 Cherry Hill Rd",, -41.238951, 146.434096,,,0,,2
7307042,,"No.80 Percival St",, -41.233979, 146.423117,,,0,,2
7307043,,"Fenton Street at Dukes Ct",, -41.241781, 146.425979,,,0,,2
7307160,,"Joyce St after Sankey St",, -41.146670, 146.540549,,,0,,2
7307161,,"Wilmot St after Rice St",, -41.166807, 146.552777,,,0,,2
7310001,,"Stop A, Devonport City Interchange, Rooke St",, -41.178010, 146.361050,,,0,place_intdev,2
7310002,,"Stop B, Devonport City Interchange, Rooke St",, -41.177779, 146.361095,,,0,place_intdev,2
7310003,,"No.155 James St",, -41.165643, 146.338880,,,0,,2
7310004,,"No.184 Best St",, -41.175844, 146.341835,,,0,,2
